month,antibiotic,number
2016-10-01,cipro,7
2016-10-01,amox,13
2016-10-01,chloramph,0
2016-10-01,coamox,0
2016-10-01,cotrimox,13
2016-10-01,azithro,0
2016-10-01,ceftriax,2
2016-11-01,cipro,15
2016-11-01,amox,14
2016-11-01,chloramph,0
2016-11-01,coamox,1
2016-11-01,cotrimox,31
2016-11-01,azithro,0
2016-11-01,ceftriax,6
2016-12-01,cipro,24
2016-12-01,amox,10
2016-12-01,chloramph,0
2016-12-01,coamox,0
2016-12-01,cotrimox,6
2016-12-01,azithro,0
2016-12-01,ceftriax,3
2017-01-01,cipro,8
2017-01-01,amox,5
2017-01-01,chloramph,0
2017-01-01,coamox,0
2017-01-01,cotrimox,5
2017-01-01,azithro,0
2017-01-01,ceftriax,7
2017-02-01,cipro,8
2017-02-01,amox,10
2017-02-01,chloramph,0
2017-02-01,coamox,0
2017-02-01,cotrimox,26
2017-02-01,azithro,0
2017-02-01,ceftriax,2
2017-03-01,cipro,9
2017-03-01,amox,13
2017-03-01,chloramph,0
2017-03-01,coamox,0
2017-03-01,cotrimox,44
2017-03-01,azithro,0
2017-03-01,ceftriax,9
2017-04-01,cipro,11
2017-04-01,amox,4
2017-04-01,chloramph,0
2017-04-01,coamox,0
2017-04-01,cotrimox,25
2017-04-01,azithro,0
2017-04-01,ceftriax,1
2017-05-01,cipro,6
2017-05-01,amox,6
2017-05-01,chloramph,0
2017-05-01,coamox,1
2017-05-01,cotrimox,18
2017-05-01,azithro,0
2017-05-01,ceftriax,2
2017-06-01,cipro,6
2017-06-01,amox,20
2017-06-01,chloramph,0
2017-06-01,coamox,0
2017-06-01,cotrimox,26
2017-06-01,azithro,0
2017-06-01,ceftriax,0
2017-07-01,cipro,1
2017-07-01,amox,22
2017-07-01,chloramph,1
2017-07-01,coamox,1
2017-07-01,cotrimox,23
2017-07-01,azithro,1
2017-07-01,ceftriax,1
2017-08-01,cipro,2
2017-08-01,amox,42
2017-08-01,chloramph,0
2017-08-01,coamox,1
2017-08-01,cotrimox,33
2017-08-01,azithro,0
2017-08-01,ceftriax,0
2017-09-01,cipro,4
2017-09-01,amox,33
2017-09-01,chloramph,0
2017-09-01,coamox,1
2017-09-01,cotrimox,30
2017-09-01,azithro,0
2017-09-01,ceftriax,0
2017-10-01,cipro,1
2017-10-01,amox,18
2017-10-01,chloramph,0
2017-10-01,coamox,0
2017-10-01,cotrimox,11
2017-10-01,azithro,0
2017-10-01,ceftriax,3
2017-11-01,cipro,8
2017-11-01,amox,42
2017-11-01,chloramph,1
2017-11-01,coamox,5
2017-11-01,cotrimox,47
2017-11-01,azithro,2
2017-11-01,ceftriax,4
2017-12-01,cipro,11
2017-12-01,amox,56
2017-12-01,chloramph,0
2017-12-01,coamox,1
2017-12-01,cotrimox,32
2017-12-01,azithro,0
2017-12-01,ceftriax,1
2018-01-01,cipro,5
2018-01-01,amox,57
2018-01-01,chloramph,0
2018-01-01,coamox,2
2018-01-01,cotrimox,36
2018-01-01,azithro,0
2018-01-01,ceftriax,3
2018-02-01,cipro,4
2018-02-01,amox,49
2018-02-01,chloramph,0
2018-02-01,coamox,0
2018-02-01,cotrimox,70
2018-02-01,azithro,0
2018-02-01,ceftriax,4
2018-03-01,cipro,9
2018-03-01,amox,53
2018-03-01,chloramph,0
