Month,Cipro MIC res?,n
2019-01-01,S,2
2019-02-01,DCS,2
2019-02-01,S,29
2019-03-01,S,35
2019-04-01,DCS,1
2019-04-01,S,40
2019-05-01,DCS,2
2019-05-01,S,34
2019-06-01,DCS,3
2019-06-01,S,33
2019-07-01,S,17
2019-08-01,S,16
2019-09-01,DCS,2
2019-09-01,R,1
2019-09-01,S,14
2019-10-01,DCS,2
2019-10-01,S,17
2019-11-01,S,12
2019-12-01,DCS,1
2019-12-01,S,6
2020-01-01,DCS,1
2020-01-01,S,21
2020-02-01,DCS,1
2020-02-01,S,14
2020-03-01,DCS,2
2020-03-01,S,27
2020-04-01,DCS,1
2020-04-01,S,3
2020-05-01,S,8
2020-06-01,S,7
2020-07-01,S,5
2020-08-01,DCS,2
2020-08-01,S,4
2020-09-01,S,8
2020-10-01,S,10
2020-11-01,DCS,4
2020-11-01,S,16
2020-12-01,DCS,2
2020-12-01,S,10
2021-01-01,S,6
2021-02-01,S,3
2021-03-01,S,4
2021-04-01,S,8
2021-05-01,S,6
2021-06-01,S,17
2021-07-01,DCS,1
2021-07-01,S,4
2021-08-01,S,4
2021-09-01,DCS,2
2021-09-01,S,10
2021-10-01,S,7
2021-11-01,S,5
2021-12-01,S,9
2022-01-01,S,2
